session_id,description,used_space,size,timestamp
1,C:\ Label,74.1,80.0,2023-07-24 15:24:44.872690
1,D:\ Label,113.3,142.9,2023-07-24 15:24:44.873690
2,C:\ Label,123.4,500.0,2023-07-24 15:25:49.015667
2,D:\ Label,78.4,430.2,2023-07-24 15:25:49.016666
2,E:\ Label,0.0,0.5,2023-07-24 15:25:49.017666
2,F:\ Label,92.9,97.3,2023-07-24 15:25:49.017666
2,G:\ Label,78.3,367.1,2023-07-24 15:25:49.018665
3,C:\ Label,123.4,500.0,2023-07-24 16:24:41.516862
3,D:\ Label,78.4,430.2,2023-07-24 16:24:41.517862
3,E:\ Label,0.0,0.5,2023-07-24 16:24:41.517862
3,F:\ Label,92.9,97.3,2023-07-24 16:24:41.518864
3,G:\ Label,78.3,367.1,2023-07-24 16:24:41.518864
4,C:\ Label,74.1,80.0,2023-07-24 16:31:16.914813
4,D:\ Label,113.3,142.9,2023-07-24 16:31:16.915815
